"","Organization.Name","Business.Category","Approved.Budget.of.the.Contract","Item.Name","Item.Desc","Quantity","Item.Budget"
"292","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","French Spring eye size 3","GENERAL SURGERY",2," 5,710.00 "
"293","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Surgical latex gloves, powder free premium quality","GENERAL SURGERY",8000," 224,000.00 "
"294","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Dental Luxator","DENTAL",24," 60,000.00 "
"295","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Disposable Foley Catheter fr.16","GENERAL MEDICAL SUPPLIES",2500," 75,000.00 "
"296","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Anti-bedsore egg mattress, Bio-aire, branded","MEDICAL INSTRUMENTS ",10," 15,000.00 "
"297","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","BP Apparatus, desk type , Pedia","MEDICAL INSTRUMENTS ",3," 6,000.00 "
"298","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Expiratory filter, Autoclavable for PB-760","MEDICAL INSTRUMENTS ",6," 35,400.00 "
"299","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Needle cutter, manually operated, cuts and holds 4","MEDICAL INSTRUMENTS ",40," 40,000.00 "
"300","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Pulse Oximeter (NEONATE) Wrap around probe","MEDICAL INSTRUMENTS ",2," 6,000.00 "
"301","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Sharps Disposal container at least 5.4 quarts with","MEDICAL INSTRUMENTS ",50," 75,000.00 "
"302","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Stethoscope, Pedia Standard Features: ò Two-sided","MEDICAL INSTRUMENTS ",6," 30,000.00 "
"303","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Dooppler","MEDICAL INSTRUMENTS ",1," 1,500.00 "
"304","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Pipettor 10-100ul","MEDICAL INSTRUMENTS ",5," 75,000.00 "
"305","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Vacuum forceps","MEDICAL INSTRUMENTS ",3," 9,000.00 "
"306","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Stethoscope, Neonate Standard Features: ò Two-sid","MEDICAL INSTRUMENTS ",3," 15,000.00 "
"307","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Blood transfusion inflatable pump","MEDICAL INSTRUMENTS ",6," 12,000.00 "
"308","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Cardiac board, adult","MEDICAL INSTRUMENTS ",2," 15,000.00 "
"309","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Refrigerator thermometer","MEDICAL INSTRUMENTS ",12," 6,000.00 "
"310","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Weighing Scale, Digital,  (Adult)","MEDICAL INSTRUMENTS ",6," 30,000.00 "
"311","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Weighing Scale, Digital,  (Infant)","MEDICAL INSTRUMENTS ",3," 15,000.00 "
"312","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Eye sheet, green, oxford cloth, 15"" x 23"" with cen","LINEN SUPPLIES",100," 20,000.00 "
"313","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Outer Covering, Green, double-ply 60""x60"", Oxford","LINEN SUPPLIES",50," 25,000.00 "
"314","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Pillow case, Green, oxford cloth, 18"" x 32"" printe","LINEN SUPPLIES",100," 30,000.00 "
"315","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Malong (for Mother & Baby use)","LINEN SUPPLIES",900," 270,000.00 "
"316","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","N95 Facemask, fluid resistant, with bacterial filt","COVID RELATED",150000," 5,100,000.00 "
"317","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Rubber boots, size","COVID RELATED",75," 22,500.00 "
"318","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Nitrile Examination Gloves, non - sterile x 100's","COVID RELATED",3000," 1,800,000.00 "
"319","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Nitrile Examination Gloves, non - sterile x 100's","COVID RELATED",24000," 14,400,000.00 "
"320","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Nitrile Examination Gloves, non - sterile x 100's","COVID RELATED",1800," 1,080,000.00 "
"321","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Accelerated Hydrogen Peroxide, 946ml/1 u.s. Qt / b","INFECTION CONTROL",180," 129,600.00 "
"322","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Propan-2-ol, Propan-1-ol Mecetronium Ethylsulfate","INFECTION CONTROL",200," 390,000.00 "
"323","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Stable mixture 7%H2O2 and 0.4% PAA Solution at lea","INFECTION CONTROL",60," 300,000.00 "
"324","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Air pulverization sterilant solution, 6% H2O2 and","INFECTION CONTROL",180," 612,000.00 "
"325","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","IRM/Intermediate Restorative Material, Branded, St","DENTAL",2," 5,000.00 "
"326","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Prophy Brush","DENTAL",500," 15,000.00 "
"327","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Rubber Cap","DENTAL",100," 3,000.00 "
"328","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Suction Tip 100s","DENTAL",4," 800.00 "
"329","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Articulating paper 12s","DENTAL",2," 600.00 "
"330","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Light guide sleeve, disposable, 12s","DENTAL",40," 8,000.00 "
"331","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Ultrasonic scaler tip (G1/G1T, G2/G2T, G3/G3T, G4/","DENTAL",8," 24,000.00 "
"332","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Dental unit cover: 1 set-4pcs PU Leather Waterproo","DENTAL",4," 4,800.00 "
"333","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Glass ionomer sealant & surface protectant  for po","DENTAL",2," 8,400.00 "
"334","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Stick resin","DENTAL",2," 7,800.00 "
"335","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Dental surgery Hi-vac suction tip","DENTAL",4," 2,000.00 "
"336","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Dappen Dish","DENTAL",4," 400.00 "
"337","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Singer oil (multi purpose oil)","DENTAL",2," 700.00 "
"338","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Baby Powder at least 500 grams","PHYSICAL REHABILITATION",4," 660.00 "
"339","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Hot moist pack, cervical size","PHYSICAL REHABILITATION",6," 7,500.00 "
"340","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Hot moist pack, standard size","PHYSICAL REHABILITATION",4," 5,000.00 "
"341","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Hot moist pack, lumbar size","PHYSICAL REHABILITATION",4," 6,400.00 "
"342","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Lotion, non greasy at least 400ml","PHYSICAL REHABILITATION",24," 7,440.00 "
"343","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Paraffin wax, scented, at least 1lb/pack","PHYSICAL REHABILITATION",24," 14,880.00 "
"344","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Wax Paper 30cm x 10m roll","PHYSICAL REHABILITATION",24," 1,440.00 "
"345","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Electrode pads foe ES/TENS unit","PHYSICAL REHABILITATION",40," 20,800.00 "
"346","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Electrode cable for ITO ES 320 (Gray)","PHYSICAL REHABILITATION",20," 22,000.00 "
"347","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Electrode cable for MH6000/Comfortens (ES/TENS uni","PHYSICAL REHABILITATION",40," 25,600.00 "
"348","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Ambubag (neonate with mask)","MEDICAL INSTRUMENTS  ",6," 15,000.00 "
"349","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Baby oil 125 ml","PHYSICAL REHABILITATION",48," 4,560.00 "
"350","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Anti-retraction valve","MEDICAL INSTRUMENTS ",4," 24,000.00 "
"351","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","DropLight (Gooseneckmwith incandescent  bulb)","MEDICAL INSTRUMENTS ",6," 30,000.00 "
"352","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","High Speed Bearing Compatible to NSK","MEDICAL INSTRUMENTS ",6," 10,800.00 "
"353","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Hi-flow Suction and Irrigation set 32cm","MEDICAL INSTRUMENTS ",2," 12,000.00 "
"354","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Iowa trumpet","MEDICAL INSTRUMENTS ",2," 2,000.00 "
"355","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Light Cure Product details of 1200~2000 Dental Wi","MEDICAL INSTRUMENTS ",2," 5,000.00 "
"356","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Medication Tray, Stainless, Large","MEDICAL INSTRUMENTS ",5," 3,000.00 "
"357","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Mayo Tray with adjustable stand, stainless, at lea","MEDICAL INSTRUMENTS ",2," 1,800.00 "
"358","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Pick-up forcep","MEDICAL INSTRUMENTS ",4," 2,000.00 "
"359","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Pipettor 100-1000ul","MEDICAL INSTRUMENTS ",5," 50,000.00 "
"360","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Wall mounted soap/alcohol dispenser, (push button)","INFECTION CONTROL",100," 65,000.00 "
"361","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Bonewax","SUTURES",40," 8,800.00 "
"362","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Finishing Strips 100s","DENTAL",2," 1,000.00 "
"363","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Gel Foam (12 pcs/bot)","DENTAL",2," 1,000.00 "
"364","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Dental Dam perforaror hole puncher set","DENTAL",2," 5,000.00 "
"365","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Rubber Dam Mouth Gap                          > Si","DENTAL",50," 12,500.00 "
"366","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Disposable white basket with detachable white cove","DENTAL",8," 4,000.00 "
"367","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Hand Piece Cleaner and Lubricant","DENTAL",2," 700.00 "
"368","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Composite Trimmers, Polishing Disc (Branded)","DENTAL",3," 4,200.00 "
"369","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Cotton Rolls. 50 rolls/sleeve/10 sleeve","DENTAL",3," 1,080.00 "
"370","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Dental adjustable saliva ejector suction valves SE","DENTAL",8," 4,000.00 "
"371","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Dental Bib 100s","DENTAL",6," 1,500.00 "
"372","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Ball and Conformer (small, medium and large sizes)","OPHTHA",30," 15,000.00 "
"373","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Cotton Buds, double tip, plastic, 400 tips/pack","OPHTHA",108," 10,800.00 "
"374","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Iris Claw Intraocular Lens","OPHTHA",15," 18,000.00 "
"375","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Ophthalmic Crescent knife  2.65mm BU 45?","OPHTHA",75," 24,000.00 "
"376","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Suture Lysis Lens","OPHTHA",1," 8,000.00 "
"377","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Celluloid Strips","DENTAL",4," 240.00 "
"378","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Cocoa Butter, 10 grams, Branded","DENTAL",4," 1,600.00 "
"379","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Composite Trimmers, Straight Pointed  (Branded)","DENTAL",20," 2,000.00 "
"380","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Composite Trimmers, Round (Branded)","DENTAL",20," 2,000.00 "
"381","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Monofilament, absorbable glyconate 2-0 at least 70","SUTURES",108," 43,200.00 "
"382","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Monofilament, absorbable glyconate 3-0  at least 7","SUTURES",108," 43,200.00 "
"383","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Polyamide monofilament 8/0","SUTURES",24," 9,600.00 "
"384","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Polyglactin 3-0, at least 45 cm with cutting needl","SUTURES",144," 43,200.00 "
"385","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Polyglactin 6/0, at least 45 cm with round needle,","SUTURES",24," 27,000.00 "
"386","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Polyglycolic Acid,  Polyglycolide or Polyglactin","SUTURES",72," 21,600.00 "
"387","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Polypropylene Monofilament non absorbable suture 2","SUTURES",36," 38,520.00 "
"388","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Polypropylene Monofilament non absorbable suture 3","SUTURES",36," 38,520.00 "
"389","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Polyester suture 30"" (75cm) Green Braided 2","SUTURES",24," 12,000.00 "
"390","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Silk 1-0 (15x60cm) Strands","SUTURES",500," 100,000.00 "
"391","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Silk 2-0 (15x60cm) Strands","SUTURES",500," 100,000.00 "
"392","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Silk 3-0 (15x60cm) Strands","SUTURES",100," 20,000.00 "
"393","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Silk 1-0 at least 75cm w/ round needle (1/2c 40 -","SUTURES",200," 41,000.00 "
"394","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Silk 4-0 at least 75cm w/ cutting  needle (1/2c 22","SUTURES",100," 20,500.00 "
"395","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Silk 6-0 at least 75cm w/ cutting needle (3/8c 14-","SUTURES",36," 7,380.00 "
"396","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Ventrofil suture set - steelwire 1x 90cm","SUTURES",24," 28,800.00 "
"397","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Disposable Hemoperfusion Cartridge for Sepsis","HEMODIALYSIS",40," 1,400,000.00 "
"398","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","IJ Catheter  f.8","HEMODIALYSIS",2," 7,000.00 "
"399","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","IJ Catheter f.10","HEMODIALYSIS",2," 7,000.00 "
"400","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","HEMODIALYSIS SUPPLIES Acid dialysis solution 10L,","HEMODIALYSIS",3," 35,231,223.00 "
"401","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","PERITONEAL DIALYSIS SUPPLIES PD Solution with 5%De","HEMODIALYSIS",1," 850,000.00 "
"402","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Pat Slide, standard, 1530 x 635 mm, 4.5 kilo","NEURO/ORTHO SURGERY",4," 56,000.00 "
"403","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Plaster Cast  4"" x at least 3.6m long","NEURO/ORTHO SURGERY",500," 35,000.00 "
"404","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Pulley, single, small","NEURO/ORTHO SURGERY",40," 8,000.00 "
"405","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Wadding sheet 4""","NEURO/ORTHO SURGERY",600," 24,000.00 "
"406","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Disposable Varices Injector G21866 CDVI-23-240","URO/GASTRO SURGERY",10," 35,000.00 "
"407","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Plaster Cast  6"" x at least 3.6 m long","NEURO/ORTHO SURGERY",500," 40,000.00 "
"408","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Nephrostomy tube Fr. 10 Pigtail with Fascial Dilat","URO/GASTRO SURGERY",6," 57,000.00 "
"409","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Open Ended Stent Fr. 6","URO/GASTRO SURGERY",2," 10,000.00 "
"410","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Open Ended Stent Fr. 8","URO/GASTRO SURGERY",2," 10,000.00 "
"411","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Radial Jaw Biopsy Forcep, Large, Capacity 2.5-2.8m","URO/GASTRO SURGERY",12," 42,000.00 "
"412","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Radial Jaw Biopsy Forcep, Large, Capacity 2.5-2.8m","URO/GASTRO SURGERY",5," 17,500.00 "
"413","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Rubber Band Ligator 6 shooter","URO/GASTRO SURGERY",3," 46,500.00 "
"414","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Rubber band refill for Multi band ligator,  6 band","URO/GASTRO SURGERY",6," 28,800.00 "
"415","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Dormia basket","URO/GASTRO SURGERY",10," 65,000.00 "
"416","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Endo bag (specimen bag for laparoscopy)","URO/GASTRO SURGERY",40," 8,000.00 "
"417","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Abdominal Sponge w/ radio opaque line 2x8 (not les","GENERAL SURGERY",150," 6,750.00 "
"418","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Uponpyloric Spiral Bacillus (HP) Via Special Test","URO/GASTRO SURGERY",4," 16,000.00 "
"419","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Free intestinal needles, small, round","GENERAL SURGERY",2," 5,710.00 "
"420","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Free intestinal needles, medium, round","GENERAL SURGERY",2," 5,710.00 "
"421","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Free intestinal needles, large, round","GENERAL SURGERY",2," 5,710.00 "
"422","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Free intestinal needles, small, cutting","GENERAL SURGERY",2," 5,710.00 "
"423","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Free intestinal needles, medium, cutting","GENERAL SURGERY",2," 5,710.00 "
"424","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Medical Supplies and Laboratory Instrument"," 128,110,277.00 ","Free intestinal needles, large, cutting","GENERAL SURGERY",2," 5,710.00 "
